88,,
0.003704,0.148148,50
0.016406,0.254048,50
0.037575,0.423387,50
0.06721,0.592683,50
0.105305,0.761912,50
0.151858,0.931047,50
0.20686,1.100049,50
0.270304,1.268873,50
0.342177,1.437462,50
0.422464,1.605746,50
0.511146,1.773642,50
0.608199,1.941054,50
0.713592,2.107868,50
0.82729,2.273958,50
0.949249,2.43918,50
1.079418,2.60338,50
1.217738,2.766387,50
1.364139,2.928027,50
1.518545,3.088115,50
1.680868,3.246467,50
1.851013,3.4029,50
2.028875,3.55724,50
2.214341,3.709324,50
2.407292,3.859008,50
2.6076,4.006167,50
2.815135,4.150699,50
3.029761,4.29253,50
3.247324,4.351243,50
3.463751,4.328545,50
3.679038,4.305738,50
3.893183,4.28291,50
4.10619,4.260131,50
4.318063,4.237457,50
4.528809,4.214925,50
4.738437,4.192562,50
4.946956,4.170381,50
5.154375,4.148384,50
5.360703,4.126566,50
5.565949,4.104914,50
5.77012,4.083408,50
5.973221,4.062024,50
6.175257,4.040734,50
6.376233,4.019506,50
6.576148,3.99831,50
6.775004,3.97711,50
6.972797,3.955874,50
7.169526,3.934569,50
7.365184,3.913165,50
7.559766,3.891634,50
7.753263,3.869952,50
7.945668,3.848102,50
8.136972,3.82607,50
8.327165,3.803853,50
8.516237,3.781454,50
8.704182,3.75889,50
8.890991,3.736187,50
9.076661,3.713388,50
9.261188,3.690547,50
9.444575,3.66774,50
9.626289,3.63428,50
9.803007,3.534368,50
9.972024,3.380336,50
10.133474,3.228997,50
10.287488,3.08027,50
10.43419,2.934052,50
10.573701,2.790214,50
10.706131,2.648606,50
10.831584,2.509065,50
10.950155,2.371414,50
11.061929,2.23547,50
11.166981,2.101048,50
11.265379,1.967966,50
11.357182,1.836047,50
11.442438,1.705125,50
11.52119,1.575046,50
11.593474,1.445671,50
11.659317,1.316873,50
11.718745,1.188543,50
11.771774,1.060586,50
11.81842,0.932922,50
11.858694,0.805482,50
11.892605,0.678212,50
11.920158,0.551068,50
11.941359,0.424014,50
11.95621,0.297022,50
11.964713,0.170069,50
11.967378,0.0533,50
11.967378,0,50
